----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:31 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.330975782713	-39.0
MUTUAL_GAZE	player2_player1	0.438572679453	17.0
MUTUAL_GAZE	player0_player1	0.376838985961	-10.0
JA_mainscreen	player2_player0	0.576428266549	-17.0
JA_mainscreen	player2_player1	0.557853832479	-28.0
JA_mainscreen	player0_player1	0.56070666732	-23.0
JA_player1	player2_player0	0.230082222247	-49.0
JA_player0	player2_player1	0.252095277247	-28.0
JA_player2	player0_player1	0.342693145837	-4.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 14:57 - AGENT-MJ |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	21	5140.666666666667
player2	player0	12	1466.4166666666667
player2	player1	10	1737.2
player2	elsewhere	2	1002.0
player0	player2	6	1282.6666666666667
player0	mainscreen	45	1600.3111111111111
player0	player0	0	0
player0	player1	2	1914.5
player0	elsewhere	42	1573.8333333333333
player1	player2	10	876.0
player1	mainscreen	34	2218.1470588235293
player1	player0	7	2251.8571428571427
player1	player1	0	0
player1	elsewhere	31	1591.9354838709678
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	6	868.0
MT	player2_player0	1	1004.0
MT	player0_player2	5	840.8
Total_MT	player2_player1	9	616.6666666666666
MT	player2_player1	2	414.0
MT	player1_player2	7	674.5714285714286
Total_MT	player0_player1	1	1048.0
MT	player0_player1	1	1048.0
MT	player1_player0	0	nan
Total_JA	player2_player0_mainscreen	43	1366.3023255813953
JA	player2_player0_mainscreen	30	1354.2
JA	player0_player2_mainscreen	13	1394.2307692307693
Total_JA	player2_player1_mainscreen	33	1987.878787878788
JA	player2_player1_mainscreen	23	1817.6521739130435
JA	player1_player2_mainscreen	10	2379.4
Total_JA	player0_player1_mainscreen	39	1052.7948717948718
JA	player0_player1_mainscreen	18	1041.0555555555557
JA	player1_player0_mainscreen	21	1062.857142857143
Total_JA	player2_player0_player1	2	1192.0
JA	player2_player0_player1	0	nan
JA	player0_player2_player1	2	1192.0
Total_JA	player2_player1_player0	7	1476.2857142857142
JA	player2_player1_player0	0	nan
JA	player1_player2_player0	7	1476.2857142857142
Total_JA	player0_player1_player2	2	977.0
JA	player0_player1_player2	2	977.0
JA	player1_player0_player2	0	nan
>GB	gazers_pair	max_R	max_lag_adj
MUTUAL_GAZE	player2_player0	0.456920587302	1.0
MUTUAL_GAZE	player2_player1	0.445592717938	2.0
MUTUAL_GAZE	player0_player1	0.191488918459	-23.0
JA_mainscreen	player2_player0	0.698168177015	1.0
JA_mainscreen	player2_player1	0.721384834803	0.0
JA_mainscreen	player0_player1	0.59013143655	-12.0
JA_player1	player2_player0	0.344739758149	50.0
JA_player0	player2_player1	0.618734864027	-1.0
JA_player2	player0_player1	0.275994269165	-14.0
----------------------------------------------
| ThalamusMaster 2021/2/6 - 15: 3 - AGENT-R |
----------------------------------------------
>gazer	target	num_gazes	avg_dur
player2	player2	0	0
player2	mainscreen	16	4953.625
player2	player0	15	1947.3333333333333
player2	player1	10	1882.7
player2	elsewhere	0	0
player0	player2	7	952.0
player0	mainscreen	34	1578.1764705882354
player0	player0	0	0
player0	player1	16	1206.125
player0	elsewhere	33	1452.6060606060605
player1	player2	19	1947.0526315789473
player1	mainscreen	20	2772.15
player1	player0	9	1484.7777777777778
player1	player1	0	0
player1	elsewhere	23	901.0
>cooccurrenceGazeBehavior	sequence	num_behav	avg_dur
Total_MT	player2_player0	4	635.25
MT	player2_player0	4	635.25
MT	player0_player2	0	nan
Total_MT	player2_player1	7	902.4285714285714
MT	player2_player1	3	815.0
MT	player1_player2	4	968.0
Total_MT	player0_player1	8	725.625
MT	player0_player1	4	723.5
MT	player1_player0	4	727.75
Total_JA	player2_player0_mainscreen	27	1336.9259259259259
JA	player2_player0_mainscreen	19	1280.7368421052631
JA	player0_player2_mainscreen	8	1470.375
Total_JA	player2_player1_mainscreen	20	1824.0
JA	player2_player1_mainscreen	13	1497.2307692307693
JA	player1_player2_mainscreen	7	2430.8571428571427
Total_JA	player0_player1_mainscreen	23	1030.608695652174
JA	player0_player1_mainscreen	7	1085.142857142857
JA	player1_player0_mainscreen	16	1006.75
Total_JA	player2_player0_player1	3	724.3333333333334
JA	player2_player0_player1	3	724.3333333333334
JA	player0_player2_player1	0	nan
Total_JA	player2_player1_player0	2	1017.5
JA	player2_player1_player0	2	1017.5
JA	player1_player2_player0	0	nan
Total_JA	player0_player1_player2	1	614.0
JA	player0_player1_player2	0	nan
JA	player1_player0_player2	1	614.0
>GB	gazers_pair	max_R	max_lag_adj
