25/09/2023 13:19:53 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:54 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:55 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:19:56 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:57 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:58 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:19:59 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:00 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:01 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:02 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:03 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:04 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:05 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:06 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:07 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:08 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:09 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:10 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:11 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:12 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:13 P0 mainscreen P1 mainscreen P2 mainscreen Game
25/09/2023 13:20:14 P0 mainscreen P1 mainscreen P2 player0 Mistake
25/09/2023 13:20:15 P0 mainscreen P1 mainscreen P2 player0 Mistake
25/09/2023 13:20:16 P0 mainscreen P1 mainscreen P2 player1 Mistake
25/09/2023 13:20:17 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:20:18 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:20:19 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:20:20 P0 mainscreen P1 mainscreen P2 mainscreen Mistake
25/09/2023 13:20:21 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:20:22 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:20:23 P0 mainscreen P1 mainscreen P2 tablet Mistake
25/09/2023 13:20:24 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:25 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:26 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:27 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:28 P0 mainscreen P1 mainscreen P2 mainscreen Waiting
25/09/2023 13:20:29 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:20:30 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:20:31 P0 mainscreen P1 mainscreen P2 tablet Game
25/09/2023 13:20:32 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:20:33 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:20:34 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:20:35 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:20:36 P0 mainscreen P1 mainscreen P2 player0 NextLevel
25/09/2023 13:20:37 P0 mainscreen P1 mainscreen P2 player1 NextLevel
25/09/2023 13:20:38 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:20:39 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:20:40 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:20:41 P0 mainscreen P1 mainscreen P2 mainscreen NextLevel
25/09/2023 13:20:42 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:20:43 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:20:44 P0 mainscreen P1 mainscreen P2 tablet NextLevel
25/09/2023 13:20:45 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:20:46 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:20:47 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:20:48 P0 mainscreen P1 mainscreen P2 mainscreen Syncing
25/09/2023 13:20:49 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:20:50 P0 mainscreen P1 mainscreen P2 tablet Syncing
25/09/2023 13:20:51 P0 mainscreen P1 mainscreen P2 tablet Syncing
